date,time,tempC,windspeedKmph,winddirDegree,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC
2015-01-31,1200,1,22,146,Overcast,0.0,100,10,1000,100,1,1,-5,37,-5

2015-02-01,0,0,30,144,Blizzard,2.1,98,0,994,100,0,0,-6,47,-6

2015-02-01,1200,-0,14,193,Light snow,0.1,94,10,999,70,-0,-1,-6,22,-6

2015-02-02,0,-5,7,89,Freezing fog,0.0,98,0,997,45,-5,-6,-8,15,-8

2015-02-02,1200,-3,9,290,Partly cloudy,0.0,95,10,997,32,-3,-3,-7,14,-7

2015-02-03,0,-8,6,150,Freezing fog,0.0,98,0,1007,54,-8,-8,-12,13,-12

2015-02-03,1200,-3,21,32,Heavy snow,1.8,96,2,1002,100,-3,-4,-10,30,-10

2015-02-04,0,-5,8,345,Heavy snow,0.6,98,2,1006,100,-5,-5,-10,11,-10

2015-02-04,1200,-4,13,6,Moderate snow,0.2,95,5,1011,100,-4,-5,-10,17,-10

2015-02-05,0,-7,16,331,Moderate snow,0.1,97,5,1017,100,-7,-8,-13,23,-13

2015-02-05,1200,-5,12,346,Overcast,0.0,94,10,1021,100,-5,-6,-11,16,-11

2015-02-06,0,-13,9,337,Freezing fog,0.0,99,0,1024,71,-13,-13,-19,19,-19

2015-02-06,1200,-8,11,244,Moderate snow,0.1,94,5,1020,100,-8,-9,-14,15,-14

2015-02-07,0,-7,16,241,Heavy snow,0.9,96,2,1009,100,-7,-8,-14,23,-14

2015-02-07,1200,-4,13,294,Overcast,0.0,94,10,1003,99,-4,-5,-9,17,-9

2015-02-08,0,-6,14,172,Overcast,0.0,98,10,990,100,-6,-6,-12,21,-12

2015-02-08,1200,-2,14,214,Heavy snow,0.7,95,2,985,100,-2,-2,-7,20,-7

2015-02-09,0,-5,18,257,Heavy snow,0.4,95,2,990,100,-5,-6,-12,27,-12

2015-02-09,1200,-6,14,302,Heavy snow,0.5,94,2,999,100,-6,-7,-13,20,-13

2015-02-10,0,-13,8,312,Freezing fog,0.0,99,0,1013,82,-13,-14,-19,17,-19

2015-02-10,1200,-9,9,213,Mist,0.0,96,2,1019,45,-9,-10,-15,14,-15

2015-02-11,0,-7,13,240,Moderate snow,0.2,97,5,1018,100,-7,-8,-14,18,-14

2015-02-11,1200,-1,17,257,Light freezing rain,0.1,97,6,1020,92,-1,-2,-6,25,-6

2015-02-12,0,-2,12,283,Overcast,0.1,98,10,1023,95,-2,-2,-6,18,-6

2015-02-12,1200,-1,17,242,Overcast,0.1,98,10,1022,93,-1,-1,-6,24,-6

2015-02-13,0,-2,13,292,Ice pellets,0.3,95,8,1021,94,-2,-3,-7,20,-7

